Data;Abertura;Max;Min;Fechamento;Fechamento_Ajustado;Volume
Jun 28, 2024;103.01;103.97;101.66;102.19;101.64;6,196,500
Jun 27, 2024;101.96;104.04;101.64;103.17;102.62;4,338,300
Jun 26, 2024;101.62;101.80;100.57;101.45;100.91;2,356,100
Jun 25, 2024;102.88;103.18;101.29;102.05;101.50;5,164,200
Jun 24, 2024;102.18;103.50;101.68;102.99;102.44;2,948,000
Jun 21, 2024;101.93;102.44;100.95;102.39;101.84;7,866,200
Jun 20, 2024;100.26;102.34;100.19;101.66;101.11;3,476,600
Jun 18, 2024;100.07;101.47;100.06;100.77;100.23;3,446,200
Jun 17, 2024;99.98;101.44;99.92;100.53;99.99;3,490,000
Jun 14, 2024;100.50;101.42;99.31;100.90;100.36;2,685,000
Jun 13, 2024;102.02;102.80;100.74;101.54;101.00;5,034,700
Jun 12, 2024;102.62;103.68;100.76;101.21;100.67;3,704,600
Jun 11, 2024;100.10;101.47;99.23;101.32;100.78;2,831,500
Jun 10, 2024;100.43;101.84;100.28;100.66;100.12;3,507,600
Jun 7, 2024;99.51;101.96;98.40;100.86;100.32;5,636,700
Jun 6, 2024;98.80;99.55;98.16;98.22;97.69;2,510,000
Jun 5, 2024;98.82;99.65;97.87;99.06;98.53;3,115,400
Jun 4, 2024;99.00;99.40;97.68;98.61;98.08;4,988,100
Jun 3, 2024;100.37;100.79;98.97;99.76;99.23;4,508,100
May 31, 2024;98.06;100.25;97.42;100.14;99.60;21,754,400
May 30, 2024;97.69;98.23;96.89;98.20;97.67;4,520,300
May 29, 2024;97.80;97.90;96.76;97.56;97.04;4,826,600
May 28, 2024;99.56;100.11;97.82;98.68;98.15;4,360,900
May 24, 2024;99.81;100.52;99.34;99.67;99.14;2,602,000
May 23, 2024;100.42;100.52;98.91;99.51;98.98;3,845,500
May 22, 2024;102.64;103.11;100.95;101.49;100.25;3,807,800
May 21, 2024;104.89;105.04;102.65;103.14;101.88;4,603,000
May 20, 2024;105.22;106.04;104.63;105.21;103.92;3,962,700
May 17, 2024;105.21;105.72;104.68;105.26;103.97;5,396,500
May 16, 2024;101.72;105.22;101.59;104.86;103.58;8,384,500
May 15, 2024;100.19;101.67;100.15;101.24;100.00;4,203,300
May 14, 2024;99.93;101.20;99.80;100.08;98.86;2,973,100
May 13, 2024;99.00;101.74;99.00;99.63;98.41;5,578,700
May 10, 2024;98.55;99.66;98.17;98.93;97.72;4,157,900
May 9, 2024;96.09;97.38;95.90;97.33;96.14;2,584,200
May 8, 2024;95.39;96.44;95.01;96.35;95.17;3,489,900
May 7, 2024;96.59;97.18;95.52;95.54;94.37;4,409,000
May 6, 2024;97.09;97.75;96.54;96.59;95.41;4,329,500
May 3, 2024;97.58;98.19;96.84;97.15;95.96;4,818,500
May 2, 2024;97.96;98.40;96.65;96.81;95.63;6,317,100
May 1, 2024;98.10;99.70;97.28;98.44;97.24;11,062,600
Apr 30, 2024;95.73;97.84;93.78;96.51;95.33;16,731,900
Apr 29, 2024;91.56;92.62;91.56;92.16;91.03;4,905,000
Apr 26, 2024;91.50;92.19;91.08;91.83;90.71;4,520,900
Apr 25, 2024;91.59;92.00;90.65;91.41;90.29;2,954,800
Apr 24, 2024;92.59;93.23;91.42;92.02;90.90;3,813,400
Apr 23, 2024;92.98;94.04;92.79;93.00;91.86;3,729,800
Apr 22, 2024;92.54;92.71;91.70;92.62;91.49;2,992,900
Apr 19, 2024;91.24;92.40;91.10;92.27;91.14;3,588,000
Apr 18, 2024;91.40;92.43;90.87;91.48;90.36;3,069,400
Apr 17, 2024;91.73;92.11;90.33;90.96;89.85;3,421,600
Apr 16, 2024;90.94;91.33;90.17;91.05;89.94;3,037,000
Apr 15, 2024;91.98;92.78;90.75;91.30;90.18;3,674,800
Apr 12, 2024;92.76;92.81;91.15;91.31;90.19;3,590,100
Apr 11, 2024;92.84;93.56;92.48;93.18;92.04;2,993,700
Apr 10, 2024;91.78;92.71;90.57;92.63;91.50;3,494,900
Apr 9, 2024;92.10;93.20;92.00;92.61;91.48;4,237,700
Apr 8, 2024;91.20;92.89;91.20;91.93;90.81;3,706,700
Apr 5, 2024;90.43;91.42;89.54;91.03;89.92;3,513,600
Apr 4, 2024;94.49;95.67;90.23;90.54;89.43;5,864,200
Apr 3, 2024;93.34;94.70;92.50;93.19;92.05;6,060,200
Apr 2, 2024;93.10;94.42;91.90;92.84;91.71;8,912,000
Apr 1, 2024;91.05;94.34;88.23;94.02;92.87;13,004,800
Mar 28, 2024;87.47;88.85;87.45;88.69;87.60;5,245,776
Mar 27, 2024;86.12;87.59;86.11;87.45;86.38;4,641,676
Mar 26, 2024;87.01;87.52;85.62;85.81;84.76;7,279,693
Mar 25, 2024;88.55;89.31;87.61;87.66;86.59;6,680,019
